unix_time_s,elapsed_s,t1,rh1,ah1,t2,rh2,ah2,diff
1772139756.4886436,707.9314832687378,23.1,71.62,14.77,22.97,71.5,14.64,0.129999999999999
1772139757.029167,708.472006559372,23.11,71.63,14.79,22.96,71.51,14.64,0.14999999999999858
1772139757.5753202,709.018159866333,23.09,71.65,14.78,22.96,71.53,14.64,0.1399999999999988
1772139758.1183586,709.5611982345581,23.12,71.67,14.8,22.95,71.55,14.64,0.16000000000000014
1772139758.6638129,710.1066524982452,23.12,71.68,14.8,22.96,71.55,14.65,0.15000000000000036
1772139759.2058623,710.6487019062042,23.1,71.67,14.79,22.96,71.56,14.65,0.1399999999999988
1772139759.7498536,711.19269323349,23.13,71.69,14.81,22.96,71.56,14.65,0.16000000000000014
1772139760.2934308,711.7362704277039,23.12,71.7,14.81,22.95,71.57,14.64,0.16999999999999993
1772139760.8342314,712.2770709991455,23.1,71.69,14.79,22.97,71.56,14.65,0.1399999999999988
1772139761.38012,712.8229596614838,23.13,71.68,14.81,22.97,71.57,14.65,0.16000000000000014
1772139761.9245727,713.3674123287201,23.08,71.67,14.77,22.95,71.54,14.64,0.129999999999999
1772139762.4678662,713.9107058048248,23.08,71.71,14.78,22.96,71.57,14.65,0.129999999999999
1772139763.0098426,714.4526822566986,23.11,71.7,14.8,22.96,71.57,14.65,0.15000000000000036
1772139763.554126,714.9969656467438,23.1,71.7,14.79,22.96,71.58,14.65,0.1399999999999988
1772139764.098428,715.5412676334381,23.1,71.72,14.8,22.97,71.57,14.66,0.14000000000000057
1772139764.6429632,716.0858027935028,23.09,71.71,14.79,22.95,71.55,14.63,0.15999999999999837
1772139765.1854172,716.6282567977905,23.15,71.72,14.84,22.95,71.57,14.64,0.1999999999999993
1772139765.7299619,717.1728014945984,23.09,71.73,14.79,22.96,71.6,14.65,0.1399999999999988
1772139766.273049,717.7158887386322,23.11,71.75,14.81,22.95,71.58,14.65,0.16000000000000014
1772139766.8142452,718.2570848464966,23.12,71.75,14.82,22.96,71.59,14.65,0.16999999999999993
1772139767.3599818,718.8028213977814,23.1,71.78,14.81,22.96,71.62,14.66,0.15000000000000036
1772139767.9043534,719.3471930027008,23.1,71.78,14.81,22.95,71.63,14.66,0.15000000000000036
1772139768.4483757,719.8912153244019,23.1,71.81,14.81,22.94,71.64,14.65,0.16000000000000014
1772139768.99005,720.4328896999359,23.08,71.79,14.79,22.97,71.64,14.67,0.11999999999999922
1772139769.5332804,720.9761199951172,23.14,71.82,14.85,22.96,71.66,14.67,0.17999999999999972
1772139770.0792868,721.5221264362335,23.11,71.85,14.83,22.95,71.67,14.66,0.16999999999999993
1772139770.6227744,722.0656139850616,23.11,71.88,14.84,22.96,71.69,14.68,0.16000000000000014
1772139771.164701,722.6075406074524,23.12,71.86,14.85,22.95,71.7,14.67,0.17999999999999972
1772139771.7080781,723.1509177684784,23.1,71.87,14.83,22.93,71.7,14.65,0.17999999999999972
1772139772.253518,723.6963577270508,23.09,71.89,14.82,22.97,71.72,14.69,0.13000000000000078
1772139772.79803,724.2408695220947,23.1,71.89,14.83,22.94,71.7,14.66,0.16999999999999993
1772139773.3390965,724.7819361686707,23.08,71.88,14.82,22.95,71.7,14.67,0.15000000000000036
1772139773.8832247,725.3260643482208,23.12,71.88,14.84,22.95,71.71,14.67,0.16999999999999993
1772139774.4276357,725.8704752922058,23.1,71.88,14.83,22.97,71.73,14.69,0.14000000000000057
1772139774.9693174,726.4121570587158,23.1,71.88,14.83,22.95,71.71,14.67,0.16000000000000014
1772139775.5136402,726.9564797878265,23.1,71.9,14.83,22.96,71.69,14.67,0.16000000000000014
1772139776.0581944,727.5010340213776,23.1,71.96,14.85,22.95,71.77,14.68,0.16999999999999993
1772139776.6028554,728.045695066452,23.08,71.96,14.83,22.96,71.77,14.69,0.14000000000000057
1772139777.1433353,728.5861749649048,23.1,72.0,14.85,22.94,71.8,14.68,0.16999999999999993
1772139777.687982,729.1308217048645,23.12,72.07,14.89,22.96,71.84,14.7,0.19000000000000128
1772139778.2328448,729.6756844520569,23.1,72.09,14.87,22.96,71.89,14.71,0.15999999999999837
1772139778.7778342,730.2206737995148,23.11,72.18,14.9,22.96,71.93,14.72,0.17999999999999972
1772139779.3197482,730.7625877857208,23.13,72.26,14.94,22.95,72.01,14.73,0.20999999999999908
1772139779.8631256,731.3059651851654,23.1,72.41,14.94,22.94,72.16,14.76,0.17999999999999972
1772139780.4072201,731.8500597476959,23.1,72.53,14.97,22.94,72.3,14.78,0.19000000000000128
1772139780.9495535,732.3923931121826,23.13,72.63,15.01,22.95,72.41,14.81,0.1999999999999993
1772139781.4936588,732.9364984035492,23.08,72.68,14.98,22.94,72.45,14.81,0.16999999999999993
1772139782.0376236,733.4804632663727,23.08,72.71,14.98,22.94,72.52,14.83,0.15000000000000036
1772139782.5819402,734.0247797966003,23.12,72.75,15.02,22.95,72.56,14.85,0.16999999999999993
1772139783.1238682,734.5667078495026,23.08,72.74,14.99,22.95,72.57,14.84,0.15000000000000036
1772139783.668192,735.1110315322876,23.09,72.75,15.0,22.96,72.53,14.85,0.15000000000000036
1772139784.212182,735.6550216674805,23.11,72.76,15.02,22.95,72.56,14.84,0.17999999999999972
1772139784.7570076,736.1998472213745,23.11,72.73,15.01,22.94,72.55,14.83,0.17999999999999972
1772139785.2986102,736.7414498329163,23.14,72.73,15.04,22.94,72.52,14.83,0.20999999999999908
1772139785.8436303,737.2864699363708,23.1,72.67,15.0,22.97,72.51,14.85,0.15000000000000036
1772139786.3877013,737.830540895462,23.08,72.67,14.98,22.95,72.5,14.83,0.15000000000000036
1772139786.930942,738.3737816810608,23.1,72.66,14.99,22.95,72.44,14.82,0.16999999999999993
1772139787.4741673,738.9170069694519,23.09,72.62,14.98,22.95,72.42,14.82,0.16000000000000014
1772139788.0173345,739.4601740837097,23.06,72.57,14.94,22.93,72.39,14.8,0.1399999999999988
1772139788.5618088,740.0046484470367,23.1,72.57,14.97,22.95,72.36,14.8,0.16999999999999993
1772139789.1029634,740.5458030700684,23.11,72.56,14.98,22.97,72.34,14.81,0.16999999999999993
1772139789.647724,741.0905635356903,23.06,72.56,14.94,22.95,72.36,14.8,0.1399999999999988
1772139790.1922739,741.6351134777069,23.08,72.59,14.96,22.94,72.34,14.79,0.1700000000000017
1772139790.7366328,742.1794724464417,23.09,72.6,14.97,22.95,72.36,14.8,0.16999999999999993
1772139791.2783206,742.7211601734161,23.1,72.62,14.98,22.95,72.39,14.81,0.16999999999999993
